latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.398,-25.974,313.2,1,1,2020-01-13,0015,T,81,6.0NRT,295.9,9.8,N
-9.77,-36.047,315.6,4.2,1.9,2020-01-13,0020,T,88,6.0NRT,291.6,106.2,N
-9.767,-36.052,317.4,4.2,1.9,2020-01-13,0020,T,93,6.0NRT,291.7,118.4,N
-9.42,-35.954,321.6,4.1,1.9,2020-01-13,0020,T,100,6.0NRT,291.6,140.2,N
-9.416,-35.961,327,4.1,1.9,2020-01-13,0020,T,100,6.0NRT,291.6,187.5,N
-9.196,-35.565,309.4,3.8,1.8,2020-01-13,0020,T,66,6.0NRT,291.3,56.1,N
-9.205,-35.571,313.9,3.8,1.8,2020-01-13,0020,T,84,6.0NRT,291.3,80.8,N
-9.068,-35.457,307,3.7,1.8,2020-01-13,0020,T,51,6.0NRT,291.5,45.2,N
-9.06,-35.465,305.7,3.7,1.8,2020-01-13,0020,T,36,6.0NRT,291.5,38.2,N
-8.612,-35.211,305.1,3.4,1.7,2020-01-13,0020,T,21,6.0NRT,275.3,48,N
-8.602,-35.219,308.5,3.4,1.7,2020-01-13,0020,T,61,6.0NRT,279.5,62.1,N
-7.784,-34.973,309.5,3.2,1.7,2020-01-13,0020,T,48,6.0NRT,290.5,48.6,N
-7.788,-35.002,306.7,3.2,1.7,2020-01-13,0020,T,47,6.0NRT,291.4,34.5,N
-7.772,-34.98,310.6,3.2,1.7,2020-01-13,0020,T,71,6.0NRT,290.9,52.5,N
-6.601,-35.178,328.9,3.2,1.7,2020-01-13,0020,T,100,6.0NRT,290.3,145.9,N
-6.605,-35.207,328.6,3.2,1.7,2020-01-13,0020,T,100,6.0NRT,290.2,144.9,N
-6.465,-35.058,310.7,3.1,1.7,2020-01-13,0020,T,72,6.0NRT,290.6,48.3,N
-6.466,-35.065,306.2,3.1,1.7,2020-01-13,0020,T,43,6.0NRT,290.5,32.2,N
-6.186,-35.256,305.9,3.2,1.7,2020-01-13,0020,T,39,6.0NRT,288.5,37.8,N
-6.19,-35.284,319.4,3.2,1.7,2020-01-13,0020,T,98,6.0NRT,285.6,93.7,N
-6.189,-35.26,313,3.2,1.7,2020-01-13,0020,T,81,6.0NRT,288.4,65.6,N
-6.193,-35.289,314.8,3.2,1.7,2020-01-13,0020,T,86,6.0NRT,284.9,72.8,N
4.973,21.906,301.3,1.2,1.1,2020-01-13,0000,A,40,6.0NRT,289.5,7.1,N
4.972,21.917,317.9,1.2,1.1,2020-01-13,0000,A,96,6.0NRT,290.7,22.7,N
3.822,29.387,305.4,1.7,1.3,2020-01-13,0000,A,64,6.0NRT,284.8,19.7,N
-4.509,12.066,311.4,4.6,2,2020-01-13,0000,A,82,6.0NRT,287.3,99.9,N
-4.51,12.061,314.7,4.6,2,2020-01-13,0000,A,90,6.0NRT,287.3,122.2,N
-7.651,11.684,308.8,4.3,1.9,2020-01-13,0000,A,63,6.0NRT,291.1,57.2,N
-35.7,137.275,328.9,1.7,1.3,2020-01-13,0120,T,50,6.0NRT,313.7,21.8,D
-35.841,137.308,330.2,1.7,1.3,2020-01-13,0120,T,28,6.0NRT,316.6,17.7,D
-35.88,136.555,360.8,1.6,1.2,2020-01-13,0120,T,0,6.0NRT,310.9,129.7,D
-35.944,137.192,406.1,1.7,1.3,2020-01-13,0120,T,100,6.0NRT,314.2,607.7,D
-35.946,137.211,331.1,1.7,1.3,2020-01-13,0120,T,62,6.0NRT,306.7,36.6,D
-35.939,137.186,338.7,1.7,1.3,2020-01-13,0120,T,82,6.0NRT,310.7,62.5,D
-35.941,137.205,327.3,1.7,1.3,2020-01-13,0120,T,46,6.0NRT,305.8,29.2,D
-35.951,137.184,381.4,1.7,1.3,2020-01-13,0120,T,100,6.0NRT,311.5,319.1,D
-35.953,137.204,364.1,1.7,1.3,2020-01-13,0120,T,100,6.0NRT,306.8,187.7,D
-16.221,143.942,326.3,2.8,1.6,2020-01-13,0115,T,70,6.0NRT,294.9,55.4,D
-16.224,143.968,326.3,2.8,1.6,2020-01-13,0115,T,72,6.0NRT,296.4,57,D
-16.224,143.936,319.7,2.8,1.6,2020-01-13,0115,T,17,6.0NRT,294.4,25.5,D
-16.227,143.962,326.5,2.8,1.6,2020-01-13,0115,T,75,6.0NRT,296,58.5,D
-16.568,143.672,324.6,2.7,1.6,2020-01-13,0115,T,72,6.0NRT,298.1,29,D
-16.558,143.668,323.9,2.7,1.6,2020-01-13,0115,T,66,6.0NRT,297.4,25.4,D
-16.982,144.275,323.8,3,1.7,2020-01-13,0115,T,46,6.0NRT,297.5,37.4,D
-16.997,144.274,324.2,3,1.7,2020-01-13,0115,T,56,6.0NRT,298.2,41.9,D
-17.89,144.026,332.3,3,1.6,2020-01-13,0115,T,82,6.0NRT,295.8,94,D
-17.905,144.025,327.9,3,1.6,2020-01-13,0115,T,77,6.0NRT,294.7,66.9,D
-17.89,144.021,331.1,3,1.6,2020-01-13,0115,T,81,6.0NRT,296,86.4,D
-17.905,144.019,326.6,3,1.6,2020-01-13,0115,T,75,6.0NRT,295,56.6,D
-16.732,129.678,335.5,2,1.4,2020-01-13,0115,T,78,6.0NRT,303.6,47.3,D
-16.766,129.653,328.1,2,1.4,2020-01-13,0115,T,39,6.0NRT,302.8,24.2,D
-16.755,129.649,328,2,1.4,2020-01-13,0115,T,20,6.0NRT,303.8,23,D
-16.768,129.647,327.5,2,1.4,2020-01-13,0115,T,44,6.0NRT,303.1,24.5,D
-18.405,124.472,328.2,4.5,2,2020-01-13,0115,T,69,6.0NRT,293.2,133.5,D
-18.404,124.464,327,4.5,2,2020-01-13,0115,T,65,6.0NRT,293.3,117.5,D
35.935,140.673,300.1,2,1.4,2020-01-13,0100,T,0,6.0NRT,286.7,13.6,D
27.252,140.876,348.5,1.5,1.2,2020-01-13,0100,T,71,6.0NRT,293.2,104.5,D
27.25,140.891,344.6,1.5,1.2,2020-01-13,0100,T,87,6.0NRT,295.6,90.7,D
27.241,140.874,348.8,1.5,1.2,2020-01-13,0100,T,89,6.0NRT,290.9,106.9,D
27.239,140.889,333.3,1.5,1.2,2020-01-13,0100,T,85,6.0NRT,290.5,57.5,D
-17.096,-41.443,304.5,2.6,1.6,2020-01-13,0155,T,60,6.0NRT,292.6,20.8,N
-17.091,-41.45,306.3,2.6,1.6,2020-01-13,0155,T,67,6.0NRT,292.5,27.2,N
13.544,-8.697,300.7,4.4,1.9,2020-01-13,0135,A,31,6.0NRT,287,50.1,N
10.439,7.153,300.7,2.1,1.4,2020-01-13,0135,A,32,6.0NRT,289.4,13.5,N
11.083,0.987,305.1,1,1,2020-01-13,0135,A,63,6.0NRT,290.9,6.5,N
10.193,-0.108,307.2,1,1,2020-01-13,0135,A,71,6.0NRT,291.8,7.7,N
10.17,-0.079,309,1,1,2020-01-13,0135,A,76,6.0NRT,292.8,8.4,N
10.169,-0.07,304.9,1,1,2020-01-13,0135,A,62,6.0NRT,293.3,5.8,N
10.151,-0.399,315,1.1,1,2020-01-13,0135,A,90,6.0NRT,291.1,14.9,N
10.15,-0.389,305.4,1.1,1,2020-01-13,0135,A,64,6.0NRT,290.4,7.4,N
9.971,-0.938,305.2,1.1,1,2020-01-13,0135,A,60,6.0NRT,291.3,6.8,N
9.96,-0.929,304.9,1.1,1,2020-01-13,0135,A,57,6.0NRT,292.8,6.3,N
9.562,-0.271,300.2,1,1,2020-01-13,0135,A,12,6.0NRT,289.9,3.7,N
9.621,-1.514,302.7,1.2,1.1,2020-01-13,0135,A,51,6.0NRT,290.3,5.4,N
9.492,-1.319,303.5,1.1,1.1,2020-01-13,0135,A,55,6.0NRT,291.4,5.9,N
9.493,-1.837,304.2,1.2,1.1,2020-01-13,0135,A,45,6.0NRT,292.6,6.5,N
9.438,-4.164,301.4,1.7,1.3,2020-01-13,0135,A,41,6.0NRT,291.4,10,N
9.029,-3.756,303.2,1.6,1.2,2020-01-13,0135,A,54,6.0NRT,288.3,11.2,N
9.025,-3.748,303.2,1.6,1.2,2020-01-13,0135,A,54,6.0NRT,288.2,11.6,N
